state,1998Count,1998Rate,1999Count,1999Rate,2000Count,2000Rate,2001Count,2001Rate,2002Count,2002Rate,2003Count,2003Rate,2004Count,2004Rate,2005Count,2005Rate,2006Count,2006Rate,2007Count,2007Rate,2008Count,2008Rate,2009Count,2009Rate,2010Count,2010Rate,2011Count,2011Rate,2012Count,2012Rate,2013Count,2013Rate
Illinois,49403,18,45924,17,45884,17,46546,17,46945,17,42247,16,43537,16,43409,16,46467,17.3,45298,16.9,47717,17.8,46077,17.4,41859,15.9,41324,15.8,43203,16.5,40750,15.7
Indiana,12443,9,12109,9,12272,9,11875,9,10937,8,11458,9,10514,8,10686,8,10614,8.2,10887,8.4,10999,8.6,10557,8.2,10048,7.8,9112,7.1,8808,6.8,8179,6.3
Iowa,6214,10,6106,10,5747,9,5722,9,6240,10,5916,10,6022,10,5881,10,6722,11.5,6637,11.4,6475,11.2,5821,10.1,5399,9.4,4815,8.3,4648,8,4423,7.6
Kentucky,6706,8,5469,6,4630,5,3764,4,3502,4,3621,4,3557,4,3776,4,3912,4.5,4389,5.1,4272,5,4120,4.8,3929,4.6,3957,4.6,3810,4.5,3637,4.3
Michigan,28107,13,26207,12,26807,12,28220,13,29231,14,29540,14,26269,12,25209,12,25636,12.4,24683,12.1,25970,13,22357,11.4,23307,12.1,23366,12.3,23230,12.2,26120,13.8
Minnesota,14423,14,14342,14,14468,13,14832,14,14287,13,14091,13,13791,13,13362,12,14065,13.2,13843,13.1,12948,12.3,12388,11.8,11505,11,11070,10.6,10701,10.2,9904,9.4
Missouri,9089,8,8113,7,7884,7,7797,6,8201,7,8350,7,8072,7,7977,7,7556,6.3,7324,6.1,7413,6.3,6881,5.8,6163,5.2,5772,4.9,5624,4.8,5416,4.6
Ohio,37479,15,37041,15,38140,16,37464,15,35830,15,35319,15,34242,14,34128,15,32936,14.2,30859,13.4,29613,13,28721,12.6,28123,12.6,24764,11.2,25473,11.5,23216,10.5
Wisconsin,11681,10,11013,10,11040,10,10925,9,10489,9,10557,9,9943,9,9817,9,9580,8.5,8267,7.4,8229,7.4,8542,7.7,7825,7.1,7249,6.6,6927,6.4,6462,5.9
United States,884273,17,861789,17,857475,16,853485,16,854122,16,848163,16,839226,16,820151,15,846181,15.9,827609,,825564,,784507,,765651,,730322,,699202,,664435,
