,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Ohio,Wisconsin,United States
1998Count,49403.00,12443.00,6214.00,6706.00,28107.00,14423.00,9089.00,37479.00,11681.00,884273.00
1998Rate,18.00,9.00,10.00,8.00,13.00,14.00,8.00,15.00,10.00,17.00
1999Count,45924.00,12109.00,6106.00,5469.00,26207.00,14342.00,8113.00,37041.00,11013.00,861789.00
1999Rate,17.00,9.00,10.00,6.00,12.00,14.00,7.00,15.00,10.00,17.00
2000Count,45884.00,12272.00,5747.00,4630.00,26807.00,14468.00,7884.00,38140.00,11040.00,857475.00
2000Rate,17.00,9.00,9.00,5.00,12.00,13.00,7.00,16.00,10.00,16.00
2001Count,46546.00,11875.00,5722.00,3764.00,28220.00,14832.00,7797.00,37464.00,10925.00,853485.00
2001Rate,17.00,9.00,9.00,4.00,13.00,14.00,6.00,15.00,9.00,16.00
2002Count,46945.00,10937.00,6240.00,3502.00,29231.00,14287.00,8201.00,35830.00,10489.00,854122.00
2002Rate,17.00,8.00,10.00,4.00,14.00,13.00,7.00,15.00,9.00,16.00
2003Count,42247.00,11458.00,5916.00,3621.00,29540.00,14091.00,8350.00,35319.00,10557.00,848163.00
2003Rate,16.00,9.00,10.00,4.00,14.00,13.00,7.00,15.00,9.00,16.00
2004Count,43537.00,10514.00,6022.00,3557.00,26269.00,13791.00,8072.00,34242.00,9943.00,839226.00
2004Rate,16.00,8.00,10.00,4.00,12.00,13.00,7.00,14.00,9.00,16.00
2005Count,43409.00,10686.00,5881.00,3776.00,25209.00,13362.00,7977.00,34128.00,9817.00,820151.00
2005Rate,16.00,8.00,10.00,4.00,12.00,12.00,7.00,15.00,9.00,15.00
2006Count,46467.00,10614.00,6722.00,3912.00,25636.00,14065.00,7556.00,32936.00,9580.00,846181.00
2006Rate,17.30,8.20,11.50,4.50,12.40,13.20,6.30,14.20,8.50,15.90
2007Count,45298.00,10887.00,6637.00,4389.00,24683.00,13843.00,7324.00,30859.00,8267.00,827609.00
2007Rate,16.90,8.40,11.40,5.10,12.10,13.10,6.10,13.40,7.40,na
2008Count,47717.00,10999.00,6475.00,4272.00,25970.00,12948.00,7413.00,29613.00,8229.00,825564.00
2008Rate,17.80,8.60,11.20,5.00,13.00,12.30,6.30,13.00,7.40,na
2009Count,46077.00,10557.00,5821.00,4120.00,22357.00,12388.00,6881.00,28721.00,8542.00,784507.00
2009Rate,17.40,8.20,10.10,4.80,11.40,11.80,5.80,12.60,7.70,na
2010Count,41859.00,10048.00,5399.00,3929.00,23307.00,11505.00,6163.00,28123.00,7825.00,765651.00
2010Rate,15.90,7.80,9.40,4.60,12.10,11.00,5.20,12.60,7.10,na
2011Count,41324.00,9112.00,4815.00,3957.00,23366.00,11070.00,5772.00,24764.00,7249.00,730322.00
2011Rate,15.80,7.10,8.30,4.60,12.30,10.60,4.90,11.20,6.60,na
2012Count,43203.00,8808.00,4648.00,3810.00,23230.00,10701.00,5624.00,25473.00,6927.00,699202.00
2012Rate,16.50,6.80,8.00,4.50,12.20,10.20,4.80,11.50,6.40,na
2013Count,40750.00,8179.00,4423.00,3637.00,26120.00,9904.00,5416.00,23216.00,6462.00,664435.00
2013Rate,15.70,6.30,7.60,4.30,13.80,9.40,4.60,10.50,5.90,na
